abbrName	ncbiID	fullName	isolate	strain	norank_57678	norank_1086053	serogroup	forma	formaspecialis	varietas	subspecies	species	norank_600669	norank_44542	speciessubgroup	norank_2642122	norank_2619919	norank_2627626	norank_1919231	norank_38063	norank_2622230	norank_2642239	norank_2629106	norank_2618147	norank_2625095	norank_2641301	norank_2621923	norank_256003	norank_2627676	norank_2621901	norank_2644672	norank_1104572	norank_2642439	norank_1234666	norank_2619537	norank_2646925	norank_2643926	norank_2635519	norank_2638681	norank_2624677	norank_2685009	norank_2644212	norank_2631227	norank_2144190	norank_2622732	norank_69483	norank_2643768	norank_2668073	norank_2648758	norank_1655640	norank_2639520	norank_2634974	norank_2620651	norank_2641160	norank_2634096	norank_2648975	norank_2684913	norank_1700837	norank_132567	norank_2626337	norank_2634179	norank_2629569	norank_2623058	norank_1727652	norank_2684908	norank_886737	norank_2638413	norank_2638438	norank_2632030	norank_2630403	norank_2648658	norank_2642017	norank_2636082	norank_2631942	norank_2625419	norank_2565780	norank_2629969	norank_2648942	norank_2648404	norank_2631116	norank_2624956	norank_2610901	norank_857194	norank_220671	norank_254878	norank_2641196	norank_2633939	norank_2678336	norank_2640012	speciesgroup	norank_44537	section	subgenus	genus	norank_1535325	subtribe	norank_1304792	norank_651142	norank_1593277	norank_2116545	norank_114584	norank_2683658	norank_218105	norank_1113537	norank_1142503	norank_588816	norank_1803510	tribe	norank_588815	norank_1648033	subfamily	norank_359160	norank_147370	family	norank_469895	norank_715341	norank_2601530	norank_337687	norank_1912919	superfamily	norank_2601529	norank_74971	norank_104431	norank_43741	norank_37567	norank_43738	parvorder	norank_480117	norank_480118	infraorder	norank_33351	norank_33349	norank_33347	suborder	norank_33343	order	norank_159987	norank_2812636	norank_33083	norank_355688	norank_9263	norank_91836	norank_314147	norank_6970	norank_4734	superorder	norank_71275	norank_1437201	norank_186626	norank_1489908	norank_1437010	subcohort	norank_1489872	norank_91827	norank_9347	norank_123369	norank_123368	norank_123367	norank_123366	norank_123365	cohort	norank_32525	norank_71240	norank_186625	norank_1489341	infraclass	subclass	norank_1520881	norank_4447	norank_1437183	norank_85512	class	norank_2290931	norank_2283794	norank_2683659	norank_2683660	norank_715962	norank_715989	norank_2692248	norank_404260	norank_436492	norank_58024	norank_436491	norank_436489	norank_436486	norank_8492	norank_1329799	norank_32561	norank_8457	norank_32524	norank_716546	norank_3208	norank_32523	norank_78536	norank_1338369	norank_58023	norank_3193	superclass	norank_117571	norank_117570	norank_7776	norank_7742	subphylum	norank_716545	norank_197562	norank_197563	phylum	norank_1783276	norank_1783275	norank_112252	norank_2611352	norank_1798711	norank_2696291	norank_554915	norank_33630	norank_1206795	norank_2697495	norank_68336	norank_1783257	norank_1783272	norank_1783270	norank_1935183	norank_33634	norank_2611341	norank_88770	norank_2698737	norank_1206794	norank_33317	norank_33511	norank_33213	norank_6072	subkingdom	kingdom	norank_999999005	norank_999999001	norank_999999002	norank_999999003	norank_999999004	norank_33154	superkingdom	norank_131567	root
ncbi100226	100226	Streptomyces coelicolor A3(2)	100226	100226	100226	100226	100226	100226	100226	100226	100226	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1477431	1477431	1477431	1477431	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	2	131567	1
ncbi10090	10090	Mus musculus	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	862507	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	10088	39107	39107	39107	10066	10066	10066	10066	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	1963758	1963758	9989	9989	9989	9989	9989	9989	9989	314147	314147	314147	314146	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	9347	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32524	32524	32523	32523	1338369	1338369	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	33511	33213	6072	6072	33208	33208	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi10116	10116	Rattus norvegicus	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	10114	39107	39107	39107	10066	10066	10066	10066	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	1963758	1963758	9989	9989	9989	9989	9989	9989	9989	314147	314147	314147	314146	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	9347	9347	9347	9347	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32524	32524	32523	32523	1338369	1338369	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	33511	33213	6072	6072	33208	33208	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi1111708	1111708	Synechocystis sp. PCC 6803 substr. Kazusa	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	2640012	2640012	2640012	2640012	2640012	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1117	1117	1117	1117	1117	1798711	1798711	1798711	1798711	1798711	1798711	1798711	1798711	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	2	131567	1
ncbi122586	122586	Neisseria meningitidis MC58	122586	122586	122586	122586	491	491	491	491	491	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	482	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	131567	1
ncbi123851	123851	Ladona fulva	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	6964	6964	6964	6964	6964	6964	70899	70899	70899	70899	70899	70899	70899	70899	70899	70899	6962	6962	6962	6962	2510002	2510002	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	33339	7496	7496	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	6960	197562	197563	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	88770	88770	1206794	33317	33317	33213	6072	6072	33208	33208	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi136037	136037	Zootermopsis nevadensis	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	7502	7502	7502	7502	7502	7502	7502	7502	7502	7502	7502	7502	7502	7502	127821	127821	127821	127820	127820	127820	7501	7501	7501	7501	7501	1912919	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	85823	85823	85823	85823	85823	85823	85823	85823	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	33341	33341	33341	33341	33341	33340	7496	7496	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	6960	197562	197563	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	88770	88770	1206794	33317	33317	33213	6072	6072	33208	33208	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi13616	13616	Monodelphis domestica	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	13615	126287	126287	126287	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	38605	38605	38605	38605	38605	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	32525	32525	32525	32525	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32524	32524	32523	32523	1338369	1338369	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	33511	33213	6072	6072	33208	33208	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi164328	164328	Phytophthora ramorum	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	33634	33634	33634	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2759	131567	1
ncbi1841598	1841598	Candidatus Heimdallarchaeota archaeon LC_3	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	2157	131567	1
